id,nombre,genero,desarrolladores,publicadores,fecha_lanzamiento
1,Breakforcist battle,Party,Lucid Sheep Games,Lucid Sheep Games,2018-04-12
2,Killallzombies,"Survival, third-person shooter",Beatshapers,Beatshapers,2019-01-24
3,Racedierun,Racing,QubicGames,QubicGames,2019-08-09
4,'n velore verstand,Adventure,Skobbejak Games,Skobbejak Games,2018-11-06
5,1-2-switch,Party,Nintendo EPD,Nintendo,2017-03-03
6,10 second run returns,"Party, racing",Blue Print,Blue Print,2018-01-25
7,1001 ultimate mahjong 2,Puzzle,Nawia Games,Nawia Games,2018-10-25
8,12 is better than 6,Adventure,Ink Stains Games,HypeTrain Digital,2019-03-05
9,12 labors of hercules'hercules,Adventure,"Jetdogs, Zoom Out Games",JetDogs,2019-03-24
10,12 orbits,Party,Roman Uhilg,Roman Uhilg,2018-04-27
11,140,Action,Carlsen Games,Carlsen Games,2019-01-09
12,1917: the alien invasion dx,Action,Andrade Games,Korion,2018-06-14
13,1979 revolution: black friday,Adventure,Ink Stories,Ink Stories,2018-08-02
14,2048 battles,Party,Baltoro Games,Baltoro Games,2019-09-20
15,2048 cat,Puzzle,Millo Games,Millo Games,2019-12-23
16,2064: read only memories integral,Adventure,MidBoss,MidBoss,2018-08-14
17,20xx,Platformer,Batterystaple Games,Batterystaple Games,2018-07-10
18,30-in-1 game collection,Arcade,Digital Bards,Digital Bards,2019-05-30
19,36 fragments of midnight,Platformer,Petite Games,"JP: Rainy Frog, WW: Ratalaika Games",2017-09-14
20,3d minigolf,Sports,Joindots,Joindots,2018-02-01
21,60 parsecs!,Adventure,Robot Gentleman,Robot Gentleman,2019-12-20
22,60 seconds!,Adventure,Robot Gentleman,Robot Gentleman,2017-12-18
23,6180 the moon,Platformer,"Turtle Cream, PokPoong Games",Turtle Cream,2018-05-24
24,7 billion humans,Puzzle,Tomorrow Corporation,Tomorrow Corporation,2018-10-25
25,8-ball pocket,Sports,Super PowerUp Games,Super PowerUp Games,2019-12-25
26,88 heroes: 98 heroes edition,Platformer,Bitmap Bureau,Rising Star Games,2017-10-12
27,9 monkeys of shaolin,Beat 'em up,Sobaka Studio,Buka Entertainment,2025-04-07
28,90s super gp,Racing,"Nicalis, Pelikan13",Nicalis,2025-04-07
29,99moves,Action,EnjoyUp Games,"JP: Starsign, WW: EnjoyUp Games",2019-02-08
30,99seconds,Action,EnjoyUp Games,"JP: Starsign, WW: EnjoyUp Games",2019-01-04
31,99vidas,Beat 'em up,QUByte Interactive,QUByte Interactive,2018-11-27
32,A-kei otaku,Visual novel,Worker Bee,Worker Bee,2025-04-07
33,A dark room,Adventure,Scratchwork Development,Circle Entertainment,2019-04-11
34,A duel hand disaster: trackher,Action,Ask An Enemy Studios,Ask An Enemy Studios,2019-06-10
35,A hat in time,Action-adventure,Gears for Breakfast,Humble Bundle,2019-10-18
36,Aaero,"Action, rhythm",Mad Fellows,Mad Fellows,2018-12-24
37,Aborigenus,Platformer,Desconocido,Drageus Games,2020-01-10
38,Abzû,Adventure,Giant Squid Studios,505 Games,2018-11-29
39,Access denied,Puzzle,Stately Snail,Ratalaika Games,2019-02-08
40,Ace of seafood,Shoot 'em up,Nussoft,Nussoft,2018-02-22
